23:46:48 autowsgr  INFO  | 资源加载成功
23:46:49 autowsgr  INFO  | Android Connected!
23:46:50 autowsgr  INFO  | resolution:(1280, 720)
23:46:50 autowsgr  INFO  | 控制器初始化成功
23:46:54 autowsgr  INFO  | OCR 后端初始化成功
23:46:55 autowsgr WARNING| ===================WARNING===================
23:46:55 autowsgr WARNING| 无法确定当前页面, 尝试重启游戏
23:46:55 autowsgr WARNING| ====================END====================
23:47:06 autowsgr  DEBUG | ('click (0.888 0.865)',)
23:47:10 autowsgr  INFO  | 正在尝试关闭新闻, 领取奖励
23:47:21 autowsgr  INFO  | 游戏启动成功!
23:47:22 autowsgr  DEBUG | ('click (0.938 0.889)',)
23:47:24 autowsgr  DEBUG | ('click (0.689 0.046)',)
23:47:25 autowsgr  DEBUG | ('click (0.120 0.209)',)
23:47:29 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(66.0), np.float64(47.5)), 'Ex-6', np.float64(0.9928023219108582))]",)
23:47:29 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(33.0), np.float64(23.0)], 'Ex-6', np.float64(0.9928023219108582))]",)
23:47:29 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(66.0), np.float64(47.5)), 'Ex-6', np.float64(0.9928023219108582))]",)
23:47:29 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(33.0), np.float64(23.0)], 'Ex-6', np.float64(0.9928023219108582))]",)
23:47:30 autowsgr  INFO  | 识别决战地图参数, 第 1 小节正在进行
23:47:30 autowsgr  DEBUG | ('click (0.521 0.926)',)
23:47:38 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(88.0), np.float64(23.5)), 'Lv.1(3/10)', np.float64(0.6575830838875065))]",)
23:47:38 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(44.0), np.float64(11.0)], 'Lv.1(3/10)', np.float64(0.6575830838875065))]",)
23:47:38 autowsgr  DEBUG | ('当前经验：3，升级需要经验：10',)
23:47:39 autowsgr  DEBUG | ('Ship_ICON position: (491.25, 98.25)',)
23:47:40 autowsgr  INFO  | 识别决战地图参数, 第 B 节点正在进行
23:47:40 autowsgr  DEBUG | ('click (0.703 0.926)',)
23:47:43 autowsgr  INFO  | 舰船识别结果为: [None, None, None, None, None, None, None]
23:47:43 autowsgr  INFO  | 等级识别结果: [None, None, None, None, None, None, None]
23:47:43 autowsgr  DEBUG | ('click (0.100 0.500)',)
23:47:45 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(524.0), np.float64(35.0)), '0-505', np.float64(0.4839041902562787))]",)
23:47:45 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(262.0), np.float64(17.0)], 'U-505', np.float64(0.4839041902562787))]",)
23:47:45 autowsgr  INFO  | 其它可用舰船：['U-505']
23:47:45 autowsgr  DEBUG | ('click (0.050 0.050)',)
23:47:47 autowsgr  DEBUG | ("拥有舰船: {None, 'U-505'}",)
23:47:47 autowsgr  DEBUG | ("当前最优：['', 'U-505', '', '', '', '', '']",)
23:47:47 autowsgr  DEBUG | ("拥有舰船: {None, 'U-505'}",)
23:47:47 autowsgr  DEBUG | ("当前最优：['', 'U-505', '', '', '', '', '']",)
23:47:47 autowsgr  DEBUG | ('click (0.031 0.056)',)
23:47:48 autowsgr  DEBUG | ('click (0.037 0.061)',)
23:47:49 autowsgr  DEBUG | ('click (0.625 0.556)',)
23:47:50 autowsgr  INFO  | 识别决战地图参数, 第 1 小节正在进行
23:47:50 autowsgr  DEBUG | ('click (0.521 0.926)',)
23:47:54 autowsgr  DEBUG | ('click (0.312 0.417)',)
23:47:55 autowsgr  DEBUG | ('click (0.501 0.851)',)
23:47:57 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(72.0), np.float64(35.0)), '10', np.float64(0.9998240835866815))]",)
23:47:57 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(36.0), np.float64(17.0)], '10', np.float64(0.9998240835866815))]",)
23:47:57 autowsgr  DEBUG | ('数字解析结果：[([np.float64(36.0), np.float64(17.0)], 10, np.float64(0.9998240835866815))]',)
23:47:57 autowsgr  DEBUG | ('当前可用费用为：10',)
23:47:57 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(193.0), np.float64(32.0)), 'x4', np.float64(0.8397101215605505)), ((np.float64(513.0), np.float64(32.0)), 'x4', np.float64(0.8474434970655087)), ((np.float64(834.0), np.float64(32.0)), 'x4', np.float64(0.9257550300140573)), ((np.float64(1154.0), np.float64(33.0)), 'x6', np.float64(0.9842294129281408)), ((np.float64(1474.0), np.float64(32.0)), 'x6', np.float64(0.9796426826867328))]",)
23:47:57 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x4', np.float64(0.8397101215605505)), ([np.float64(256.0), np.float64(16.0)], 'x4', np.float64(0.8474434970655087)), ([np.float64(417.0), np.float64(16.0)], 'x4', np.float64(0.9257550300140573)), ([np.float64(577.0), np.float64(16.0)], 'x6', np.float64(0.9842294129281408)), ([np.float64(737.0), np.float64(16.0)], 'x6', np.float64(0.9796426826867328))]",)
23:47:57 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 4, np.float64(0.8397101215605505)), ([np.float64(256.0), np.float64(16.0)], 4, np.float64(0.8474434970655087)), ([np.float64(417.0), np.float64(16.0)], 4, np.float64(0.9257550300140573)), ([np.float64(577.0), np.float64(16.0)], 6, np.float64(0.9842294129281408)), ([np.float64(737.0), np.float64(16.0)], 6, np.float64(0.9796426826867328))]',)
23:47:57 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), np.float64(21.0)), 'M-296', np.float64(0.9396602560435744))]",)
23:47:57 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), np.float64(10.0)], 'M-296', np.float64(0.9396602560435744))]",)
23:47:57 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(150.0), 20.5), '瑞凤', np.float64(0.6902225796116692))]",)
23:47:57 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(75.0), 10.0], '瑞凤', np.float64(0.6902225796116692))]",)
23:47:58 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), 20.5), '祥凤', np.float64(0.9720681901158731))]",)
23:47:58 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '祥凤', np.float64(0.9720681901158731))]",)
23:47:58 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), np.float64(22.0)), '0-81', np.float64(0.8916254043579102))]",)
23:47:58 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), np.float64(11.0)], 'U-81', np.float64(0.8916254043579102))]",)
23:47:58 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(145.5), 20.5), '射水鱼', np.float64(0.9942942102636168))]",)
