23:54:19 autowsgr  INFO  | 资源加载成功
23:54:49 autowsgr  DEBUG | ("拥有舰船: {'M-296'}",)
23:54:49 autowsgr  DEBUG | ("当前最优：['', 'M-296', '', '', '', '', '']",)
23:54:49 autowsgr  DEBUG | ('click (0.037 0.061)',)
23:54:50 autowsgr  DEBUG | ('click (0.625 0.556)',)
23:54:52 autowsgr  INFO  | 识别决战地图参数, 第 1 小节正在进行
23:54:52 autowsgr  DEBUG | ('click (0.521 0.926)',)
23:54:55 autowsgr  DEBUG | ('click (0.312 0.417)',)
23:54:56 autowsgr  DEBUG | ('click (0.501 0.851)',)
23:54:58 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(72.0), np.float64(35.0)), '10', np.float64(0.999827708030808))]",)
23:54:58 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(36.0), np.float64(17.0)], '10', np.float64(0.999827708030808))]",)
23:54:58 autowsgr  DEBUG | ('数字解析结果：[([np.float64(36.0), np.float64(17.0)], 10, np.float64(0.999827708030808))]',)
23:54:58 autowsgr  DEBUG | ('当前可用费用为：10',)
23:54:58 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(193.0), np.float64(32.0)), 'x4', np.float64(0.8570212758903571)), ((np.float64(513.0), np.float64(32.0)), 'x4', np.float64(0.815403407129695)), ((np.float64(834.0), np.float64(32.0)), 'x4', np.float64(0.9233469275275517)), ((np.float64(1154.0), np.float64(33.0)), 'x6', np.float64(0.9839053145714726)), ((np.float64(1474.0), np.float64(33.0)), 'x6', np.float64(0.968938619432501))]",)
23:54:58 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x4', np.float64(0.8570212758903571)), ([np.float64(256.0), np.float64(16.0)], 'x4', np.float64(0.815403407129695)), ([np.float64(417.0), np.float64(16.0)], 'x4', np.float64(0.9233469275275517)), ([np.float64(577.0), np.float64(16.0)], 'x6', np.float64(0.9839053145714726)), ([np.float64(737.0), np.float64(16.0)], 'x6', np.float64(0.968938619432501))]",)
23:54:58 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 4, np.float64(0.8570212758903571)), ([np.float64(256.0), np.float64(16.0)], 4, np.float64(0.815403407129695)), ([np.float64(417.0), np.float64(16.0)], 4, np.float64(0.9233469275275517)), ([np.float64(577.0), np.float64(16.0)], 6, np.float64(0.9839053145714726)), ([np.float64(737.0), np.float64(16.0)], 6, np.float64(0.968938619432501))]',)
23:54:59 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '祥凤', np.float64(0.9685073593194347))]",)
23:54:59 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '祥凤', np.float64(0.9685073593194347))]",)
23:54:59 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(149.0), np.float64(21.0)), 'M-296', np.float64(0.9478879052326425))]",)
23:54:59 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(74.0), np.float64(10.0)], 'M-296', np.float64(0.9478879052326425))]",)
23:54:59 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), 20.5), '瑞凤', np.float64(0.7615318792791694))]",)
23:54:59 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '瑞凤', np.float64(0.7615318792791694))]",)
23:54:59 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), 'V方案', np.float64(0.5040901719482477))]",)
23:54:59 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], 'V方案', np.float64(0.5040901719482477))]",)
23:54:59 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(147.0), np.float64(21.0)), '0-1206', np.float64(0.9191400724746417))]",)
23:54:59 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), np.float64(10.0)], 'U-1206', np.float64(0.9191400724746417))]",)
23:54:59 autowsgr  DEBUG | ('可购买舰船：', {'祥凤': (4, (0.25, 0.5)), 'M-296': (4, (0.375, 0.5)), '瑞凤': (4, (0.5, 0.5)), 'V方案': (6, (0.625, 0.5)), 'U-1206': (6, (0.75, 0.5))})
23:54:59 autowsgr  DEBUG | ('选择购买：U-1206，花费：6，点击位置：(0.75, 0.5)',)
23:54:59 autowsgr  DEBUG | ('click (0.750 0.500)',)
23:55:00 autowsgr  DEBUG | ('选择购买：M-296，花费：4，点击位置：(0.375, 0.5)',)
23:55:00 autowsgr  DEBUG | ('click (0.375 0.500)',)
23:55:00 autowsgr  DEBUG | ('click (0.604 0.926)',)
23:55:01 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(88.0), np.float64(23.5)), 'Lv.1(0/10)', np.float64(0.9674751016354924))]",)
23:55:01 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(44.0), np.float64(11.0)], 'Lv.1(0/10)', np.float64(0.9674751016354924))]",)
23:55:01 autowsgr  DEBUG | ('当前经验：0，升级需要经验：10',)
23:55:02 autowsgr  DEBUG | ('Ship_ICON position: (491.25, 180.75)',)
23:55:03 autowsgr  INFO  | 识别决战地图参数, 第 A 节点正在进行
23:55:03 autowsgr  DEBUG | ('click (0.214 0.894)',)
23:55:04 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(1067.0), np.float64(7.5)), '', np.float64(0.0)), ((np.float64(1167.0), np.float64(4.0)), '', np.float64(0.0)), ((np.float64(1171.0), np.float64(8.0)), '', np.float64(0.0))]",)
23:55:04 autowsgr  DEBUG | ('修正OCR结果：[]',)
23:55:04 autowsgr  INFO  | 使用技能获得: []
23:55:04 autowsgr  DEBUG | ('click (0.214 0.894)',)
23:55:05 autowsgr  DEBUG | ("拥有舰船: {'M-296', 'U-1206'}",)
