23:54:19 autowsgr  INFO  | 资源加载成功
23:56:38 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:56:39 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:56:40 autowsgr  DEBUG | ('waiting:', ['battle_page'], '  ')
23:56:40 autowsgr  INFO  | matched: battle_page
23:56:40 autowsgr  INFO  | [-1, 0, 0, 0, -1, -1, -1]
23:56:42 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(71.0), np.float64(36.0)), '5', np.float64(0.9999988079074598))]",)
23:56:42 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(35.0), np.float64(18.0)], '5', np.float64(0.9999988079074598))]",)
23:56:42 autowsgr  DEBUG | ('数字解析结果：[([np.float64(35.0), np.float64(18.0)], 5, np.float64(0.9999988079074598))]',)
23:56:42 autowsgr  DEBUG | ('当前可用费用为：5',)
23:56:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(192.0), np.float64(32.0)), 'x4', np.float64(0.9107997954905308)), ((np.float64(513.0), np.float64(32.0)), 'x4', np.float64(0.8486367448257003)), ((np.float64(834.0), np.float64(33.0)), 'x5', np.float64(0.8388249882898796)), ((np.float64(1154.0), np.float64(32.0)), 'x5', np.float64(0.9928496270896157)), ((np.float64(1475.0), np.float64(32.0)), 'x4', np.float64(0.8029893004799892))]",)
23:56:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x4', np.float64(0.9107997954905308)), ([np.float64(256.0), np.float64(16.0)], 'x4', np.float64(0.8486367448257003)), ([np.float64(417.0), np.float64(16.0)], 'x5', np.float64(0.8388249882898796)), ([np.float64(577.0), np.float64(16.0)], 'x5', np.float64(0.9928496270896157)), ([np.float64(737.0), np.float64(16.0)], 'x4', np.float64(0.8029893004799892))]",)
23:56:43 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 4, np.float64(0.9107997954905308)), ([np.float64(256.0), np.float64(16.0)], 4, np.float64(0.8486367448257003)), ([np.float64(417.0), np.float64(16.0)], 5, np.float64(0.8388249882898796)), ([np.float64(577.0), np.float64(16.0)], 5, np.float64(0.9928496270896157)), ([np.float64(737.0), np.float64(16.0)], 4, np.float64(0.8029893004799892))]',)
23:56:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '祥凤', np.float64(0.9685073593194347))]",)
23:56:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '祥凤', np.float64(0.9685073593194347))]",)
23:56:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(150.0), 20.5), '瑞凤', np.float64(0.6902225796116692))]",)
23:56:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(75.0), 10.0], '瑞凤', np.float64(0.6902225796116692))]",)
23:56:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), 20.5), '加里波第', np.float64(0.6260926723480225))]",)
23:56:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '加里波第', np.float64(0.6260926723480225))]",)
23:56:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(143.0), 20.5), '格罗兹尼', np.float64(0.9683476686477661))]",)
23:56:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(71.0), 10.0], '格罗兹尼', np.float64(0.9683476686477661))]",)
23:56:43 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(147.0), 20.5), '守护之盾', np.float64(0.9665754437446594))]",)
23:56:43 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '守护之盾', np.float64(0.9665754437446594))]",)
23:56:43 autowsgr  DEBUG | ('可购买舰船：', {'祥凤': (4, (0.25, 0.5)), '瑞凤': (4, (0.375, 0.5)), '加里波第': (5, (0.5, 0.5)), '格罗兹尼': (5, (0.625, 0.5)), '守护之盾': (4, (0.75, 0.5))})
23:56:43 autowsgr  DEBUG | ('click (0.396 0.926)',)
23:56:44 autowsgr  INFO  | 刷新备选舰船
23:56:44 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(71.0), np.float64(36.0)), '5', np.float64(0.9999988079074598))]",)
23:56:44 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(35.0), np.float64(18.0)], '5', np.float64(0.9999988079074598))]",)
23:56:44 autowsgr  DEBUG | ('数字解析结果：[([np.float64(35.0), np.float64(18.0)], 5, np.float64(0.9999988079074598))]',)
23:56:44 autowsgr  DEBUG | ('当前可用费用为：5',)
23:56:45 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(192.0), np.float64(32.0)), 'x4', np.float64(0.9107997954905308)), ((np.float64(513.0), np.float64(32.0)), 'x4', np.float64(0.8486367448257003)), ((np.float64(834.0), np.float64(34.0)), 'x6', np.float64(0.8948882688872193)), ((np.float64(1154.0), np.float64(32.0)), 'x5', np.float64(0.9928496270896157)), ((np.float64(1475.0), np.float64(33.0)), 'x5', np.float64(0.9918475246411399))]",)
23:56:45 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x4', np.float64(0.9107997954905308)), ([np.float64(256.0), np.float64(16.0)], 'x4', np.float64(0.8486367448257003)), ([np.float64(417.0), np.float64(17.0)], 'x6', np.float64(0.8948882688872193)), ([np.float64(577.0), np.float64(16.0)], 'x5', np.float64(0.9928496270896157)), ([np.float64(737.0), np.float64(16.0)], 'x5', np.float64(0.9918475246411399))]",)
23:56:45 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 4, np.float64(0.9107997954905308)), ([np.float64(256.0), np.float64(16.0)], 4, np.float64(0.8486367448257003)), ([np.float64(417.0), np.float64(17.0)], 6, np.float64(0.8948882688872193)), ([np.float64(577.0), np.float64(16.0)], 5, np.float64(0.9928496270896157)), ([np.float64(737.0), np.float64(16.0)], 5, np.float64(0.9918475246411399))]',)
23:56:45 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '瑞凤', np.float64(0.6949052926460559))]",)
23:56:45 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '瑞凤', np.float64(0.6949052926460559))]",)
23:56:45 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(149.0), 20.5), '祥凤', np.float64(0.9768385724973037))]",)
23:56:45 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(74.0), 10.0], '祥凤', np.float64(0.9768385724973037))]",)
23:56:45 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '芝加哥', np.float64(0.9433010634059211))]",)
23:56:45 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '芝加哥', np.float64(0.9433010634059211))]",)
23:56:45 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(146.0), 20.5), '关键-击', np.float64(0.3264218270778656))]",)
23:56:45 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '关键一击', np.float64(0.3264218270778656))]",)
23:56:45 autowsgr  DEBUG | ('可购买舰船：', {'瑞凤': (4, (0.25, 0.5)), '祥凤': (4, (0.375, 0.5)), '芝加哥': (5, (0.625, 0.5)), '关键一击': (5, (0.75, 0.5))})
23:56:45 autowsgr  DEBUG | ('click (0.604 0.926)',)
23:56:46 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(88.0), np.float64(23.5)), 'Lv.1(6/10)', np.float64(0.9704187113208428))]",)
23:56:46 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(44.0), np.float64(11.0)], 'Lv.1(6/10)', np.float64(0.9704187113208428))]",)
23:56:46 autowsgr  DEBUG | ('当前经验：6，升级需要经验：10',)
23:56:47 autowsgr  DEBUG | ('Ship_ICON position: (491.25, 98.25)',)
23:56:48 autowsgr  INFO  | 识别决战地图参数, 第 C 节点正在进行
23:56:48 autowsgr  DEBUG | ("拥有舰船: {'U-47', 'M-296', 'U-1206'}",)
23:56:48 autowsgr  DEBUG | ("当前最优：['', 'U-47', 'U-1206', 'M-296', '', '', '']",)
23:56:48 autowsgr  DEBUG | ("拥有舰船: {'U-47', 'M-296', 'U-1206'}",)
23:56:48 autowsgr  DEBUG | ("当前最优：['', 'U-47', 'U-1206', 'M-296', '', '', '']",)
23:56:48 autowsgr  DEBUG | ('click (0.938 0.926)',)
23:56:48 autowsgr  DEBUG | ('waiting:', ['spot_enemy_success', 'formation', 'fight_period'], '  ')
23:56:48 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:56:49 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:56:49 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:56:49 autowsgr  DEBUG | ('click (0.396 0.963)',)
23:56:50 autowsgr  INFO  | matched: spot_enemy_success
23:56:50 autowsgr  DEBUG | ("enemys:{'NAP': 2, 'CA': 4, 'AP': 2, 'ALL': 6}",)
23:56:50 autowsgr  DEBUG | ('click (0.891 0.928)',)
23:56:50 autowsgr  DEBUG | ('waiting:', ['formation', 'fight_period'], '  ')
23:56:52 autowsgr  INFO  | matched: fight_period
23:56:52 autowsgr  DEBUG | ('waiting:', ['night', 'result'], '  ')
23:57:01 autowsgr  INFO  | matched: night
23:57:06 autowsgr  DEBUG | ('click (0.339 0.648)',)
23:57:08 autowsgr  DEBUG | ('waiting:', ['result'], '  ')
23:57:25 autowsgr  INFO  | matched: result
23:57:26 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:57:27 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:57:28 autowsgr  DEBUG | ('click (0.953 0.954)',)
23:57:30 autowsgr  DEBUG | ('waiting:', ['battle_page'], '  ')
23:57:30 autowsgr  INFO  | matched: battle_page
23:57:30 autowsgr  INFO  | [-1, 0, 0, 0, -1, -1, -1]
23:57:32 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(70.0), np.float64(34.0)), '8', np.float64(0.9999897480273745))]",)
23:57:32 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(35.0), np.float64(17.0)], '8', np.float64(0.9999897480273745))]",)
23:57:32 autowsgr  DEBUG | ('数字解析结果：[([np.float64(35.0), np.float64(17.0)], 8, np.float64(0.9999897480273745))]',)
23:57:32 autowsgr  DEBUG | ('当前可用费用为：8',)
23:57:32 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(192.0), np.float64(32.0)), 'x6', np.float64(0.9766713936030273)), ((np.float64(512.0), np.float64(32.0)), 'x6', np.float64(0.9633528859453969)), ((np.float64(834.0), np.float64(33.0)), 'x6', np.float64(0.9230124494985386)), ((np.float64(1154.0), np.float64(33.0)), 'x6', np.float64(0.9804695992703192)), ((np.float64(1475.0), np.float64(33.0)), 'x5', np.float64(0.9918475246411399))]",)
23:57:32 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(96.0), np.float64(16.0)], 'x6', np.float64(0.9766713936030273)), ([np.float64(256.0), np.float64(16.0)], 'x6', np.float64(0.9633528859453969)), ([np.float64(417.0), np.float64(16.0)], 'x6', np.float64(0.9230124494985386)), ([np.float64(577.0), np.float64(16.0)], 'x6', np.float64(0.9804695992703192)), ([np.float64(737.0), np.float64(16.0)], 'x5', np.float64(0.9918475246411399))]",)
23:57:32 autowsgr  DEBUG | ('数字解析结果：[([np.float64(96.0), np.float64(16.0)], 6, np.float64(0.9766713936030273)), ([np.float64(256.0), np.float64(16.0)], 6, np.float64(0.9633528859453969)), ([np.float64(417.0), np.float64(16.0)], 6, np.float64(0.9230124494985386)), ([np.float64(577.0), np.float64(16.0)], 6, np.float64(0.9804695992703192)), ([np.float64(737.0), np.float64(16.0)], 5, np.float64(0.9918475246411399))]',)
23:57:32 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), '征服者', np.float64(0.9727491106409177))]",)
23:57:32 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], '征服者', np.float64(0.9727491106409177))]",)
23:57:32 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(147.0), 20.5), '大青花鱼', np.float64(0.9570819139480591))]",)
23:57:32 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '大青花鱼', np.float64(0.9570819139480591))]",)
23:57:32 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(145.0), np.float64(20.0)), '0-505', np.float64(0.5485862168243205))]",)
23:57:32 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), np.float64(10.0)], 'U-505', np.float64(0.5485862168243205))]",)
23:57:33 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(144.0), 20.5), 'V方案', np.float64(0.5040901719482477))]",)
23:57:33 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(72.0), 10.0], 'V方案', np.float64(0.5040901719482477))]",)
23:57:33 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(147.0), 20.5), '防空伞', np.float64(0.9687329780557089))]",)
23:57:33 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(73.0), 10.0], '防空伞', np.float64(0.9687329780557089))]",)
23:57:33 autowsgr  DEBUG | ('可购买舰船：', {'征服者': (6, (0.25, 0.5)), '大青花鱼': (6, (0.375, 0.5)), 'U-505': (6, (0.5, 0.5)), 'V方案': (6, (0.625, 0.5)), '防空伞': (5, (0.75, 0.5))})
23:57:33 autowsgr  DEBUG | ('选择购买：大青花鱼，花费：6，点击位置：(0.375, 0.5)',)
23:57:33 autowsgr  DEBUG | ('click (0.375 0.500)',)
23:57:33 autowsgr  DEBUG | ('click (0.604 0.926)',)
23:57:34 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(88.0), np.float64(23.5)), 'Lv.1(9/10)', np.float64(0.8240367795462789))]",)
23:57:34 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(44.0), np.float64(11.0)], 'Lv.1(9/10)', np.float64(0.8240367795462789))]",)
23:57:34 autowsgr  DEBUG | ('当前经验：9，升级需要经验：10',)
23:57:35 autowsgr  DEBUG | ('Ship_ICON position: (491.25, 180.75)',)
23:57:36 autowsgr  INFO  | 识别决战地图参数, 第 D 节点正在进行
23:57:36 autowsgr  DEBUG | ("拥有舰船: {'U-47', 'M-296', '大青花鱼', 'U-1206'}",)
23:57:36 autowsgr  DEBUG | ("当前最优：['', 'U-47', 'U-1206', 'M-296', '大青花鱼', '', '']",)
23:57:36 autowsgr  DEBUG | ("拥有舰船: {'U-47', 'M-296', '大青花鱼', 'U-1206'}",)
23:57:36 autowsgr  DEBUG | ("当前最优：['', 'U-47', 'U-1206', 'M-296', '大青花鱼', '', '']",)
23:57:36 autowsgr  DEBUG | ('click (0.703 0.926)',)
23:57:39 autowsgr  DEBUG | ("编队更改为：['', 'U-47', 'U-1206', 'M-296', '大青花鱼', '', '']",)
23:57:39 autowsgr  INFO  | 舰船识别结果为: [None, None, None, None, None, None, None]
23:57:39 autowsgr  INFO  | 等级识别结果: [None, None, None, None, None, None, None]
23:57:39 autowsgr  DEBUG | ('更改1号位舰船为 U-47',)
23:57:39 autowsgr  DEBUG | ('click (0.058 0.411)',)
23:57:41 autowsgr  DEBUG | ("原始OCR结果: [((np.float64(523.0), np.float64(34.5)), '大青花鱼', np.float64(0.83480304479599))]",)
23:57:41 autowsgr  DEBUG | ("修正OCR结果：[([np.float64(261.0), np.float64(17.0)], '大青花鱼', np.float64(0.83480304479599))]",)
23:57:41 autowsgr  INFO  | 更改编队可用舰船：['大青花鱼']
